"Species","Total_freq","Early","Mid","Late","Class","Order","Family","Sp"
"Spp269",1,0,3.2,0,"Insecta","Coleoptera","Ptinidae",""
"Spp270",1,4.2,0,0,"Insecta","Diptera","Xylophagidae","Xylophagus.reflectens"
"Spp271",1,0,0,3.1,"Insecta","Hemiptera","Aphididae",""
"Spp273",1,0,3.2,0,"Insecta","Hemiptera","",""
"Spp274",1,4.2,0,0,"Insecta","Lepidoptera","Lasiocampidae",".1"
"Spp278",1,4.2,0,0,"Insecta","Lepidoptera","Blastobasidae","Asaphocrita.busckiella"
"Spp280",1,4.2,0,0,"Insecta","Hemiptera","Rhyparochromidae","Eremocoris.borealis"
"Spp284",1,0,0,3.1,"Insecta","Lepidoptera","Geometridae","Eupithecia.palpata"
"Spp285",1,4.2,0,0,"Arachnida","Araneae","Salticidae",""
"Spp286",1,0,3.2,0,"Insecta","Hymenoptera","Platygastridae",""
"Spp288",1,0,3.2,0,"Arachnida","Araneae","Theridiidae","Neospintharus.trigonum"
"Spp289",1,0,3.2,0,"Insecta","Lepidoptera","Geometridae","Besma.endropiaria"
"Spp290",1,4.2,0,0,"Insecta","Hymenoptera","Braconidae",""
"Spp291",1,4.2,0,0,"Insecta","Diptera","Axymyiidae","Axymyia.furcata"
"Spp292",1,0,0,3.1,"Insecta","Diptera","Tabanidae","Hybomitra.microcephala"
"Spp293",1,0,0,3.1,"Insecta","Diptera","Calliphoridae","Calliphora.livida"
"Spp295",1,0,3.2,0,"Insecta","Lepidoptera","Nolidae","Meganola.minuscula"
"Spp296",1,0,3.2,0,"Insecta","Hemiptera","Miridae","Phytocoris.eximius"
"Spp301",1,4.2,0,0,"Insecta","Hemiptera","Miridae","Tropidosteptes.rufusculus"
"Spp303",1,0,0,3.1,"Insecta","Diptera","Ceratopogonidae","Forcipomyia.titillans"
"Spp305",1,0,3.2,0,"Insecta","Lepidoptera","Tortricidae","Olethreutes.fasciatana"
"Spp307",1,0,3.2,0,"Insecta","Hymenoptera","Braconidae","Peristenus.sp"
"Spp308",1,4.2,0,0,"Insecta","Hemiptera","Miridae",""
"Spp310",1,0,3.2,0,"Insecta","Diptera","Asilidae","Tipulogaster.glabrata"
"Spp311",1,4.2,0,0,"Insecta","Lepidoptera","Tortricidae","Cydia.inopiosa"
"Spp312",1,0,3.2,0,"Insecta","Diptera","Syrphidae",""
"Spp313",1,0,3.2,0,"Insecta","Hymenoptera","Ichneumonidae",""
"Spp317",1,0,0,3.1,"Insecta","Plecoptera","Nemouridae","Amphinemura.wui"
"Spp318",1,4.2,0,0,"Insecta","Hymenoptera","Ichneumonidae","Syrphophilus.tricinctorius"
"Spp320",1,0,3.2,0,"Arachnida","Araneae","Clubionidae",""
"Spp321",1,4.2,0,0,"Insecta","Hemiptera","Miridae","Neolygus.hirticulus"
"Spp322",1,0,0,3.1,"Insecta","Hymenoptera","Argidae",""
"Spp323",1,0,3.2,0,"Insecta","Diptera","Tachinidae","Blepharomyia.pagana"
"Spp324",1,0,0,3.1,"Collembola","Entomobryomorpha","Tomoceridae","Tomocerus.sp"
"Spp325",1,0,3.2,0,"Insecta","Psocodea","Caeciliusidae","Valenzuela.flavidus"
"Spp326",1,0,0,3.1,"Insecta","Diptera","Sciaridae",""
"Spp327",1,0,0,3.1,"Insecta","Diptera","Mycetophilidae",""
"Spp329",1,0,3.2,0,"Insecta","Hymenoptera","Ichneumonidae","Phygadeuon.vexator"
"Spp330",1,4.2,0,0,"Insecta","Diptera","Pipunculidae",""
"Spp331",1,0,3.2,0,"Arachnida","Araneae","Thomisidae","Misumena.vatia"
"Spp332",1,0,0,3.1,"Arachnida","Araneae","Araneidae","Eustala.emertoni"
"Spp333",1,4.2,0,0,"Insecta","Lepidoptera","Tortricidae","Cydia.latiferreana"
"Spp334",1,4.2,0,0,"Insecta","Diptera","Tabanidae","Chrysops.calvus"
"Spp335",1,0,0,3.1,"Insecta","Lepidoptera","Tineidae",""
"Spp336",1,0,0,3.1,"Arachnida","Araneae","Linyphiidae","Lepthyphantes.turbatrix"
"Spp337",1,0,3.2,0,"Insecta","Coleoptera","Buprestidae",""
"Spp338",1,4.2,0,0,"Insecta","Lepidoptera","Geometridae","Eupithecia.annulata"
"Spp340",1,0,0,3.1,"Insecta","Lepidoptera","Erebidae","Zale.minerea"
"Spp342",1,4.2,0,0,"Insecta","Lepidoptera","Nepticulidae","Ectoedemia.argyropeza"
"Spp343",1,4.2,0,0,"Insecta","Lepidoptera","Tortricidae","Acleris.maccana"
"Spp344",1,0,0,3.1,"Insecta","Hymenoptera","Dryinidae",""
"Spp345",1,0,0,3.1,"Insecta","Coleoptera","Scarabaeidae","Phyllophaga.drakii"
"Spp346",1,4.2,0,0,"Insecta","Diptera","Tachinidae","Xanthomelanodes.arcuatus"
"Spp347",1,0,0,3.1,"Insecta","Diptera","Sciaridae","Corynoptera.trepida"
"Spp348",1,0,3.2,0,"Insecta","Coleoptera","Cerambycidae","Urgleptes.signatus"
"Spp349",1,4.2,0,0,"Insecta","Diptera","Bibionidae",""
"Spp351",1,4.2,0,0,"Insecta","Lepidoptera","Blastobasidae","Asaphocrita.aphidiella"
"Spp352",1,0,0,3.1,"Insecta","Diptera","Mycetophilidae",""
"Spp353",1,4.2,0,0,"Insecta","Diptera","Tabanidae","Chrysops.niger"
"Spp354",1,0,3.2,0,"Arachnida","Araneae","Linyphiidae","Pocadicnemis.occidentalis"
"Spp355",1,0,3.2,0,"Insecta","Diptera","Tachinidae",""
"Spp356",1,4.2,0,0,"Insecta","Hymenoptera","Ichneumonidae",""
"Spp358",1,4.2,0,0,"Insecta","Diptera","Sciaridae","Cratyna.longispina"
"Spp360",1,0,0,3.1,"Insecta","Coleoptera","Cantharidae","Pacificanthia.rotundicollis"
"Spp362",1,0,3.2,0,"Insecta","Hemiptera","Miridae",""
"Spp363",1,0,3.2,0,"Insecta","Lepidoptera","Notodontidae","Lochmaeus.bilineata"
"Spp365",1,4.2,0,0,"Insecta","Plecoptera","Leuctridae",""
"Spp366",1,0,0,3.1,"Arachnida","Sarcoptiformes","Phthiracaridae",""
"Spp367",1,0,0,3.1,"Insecta","Diptera","Tachinidae",""
"Spp368",1,0,3.2,0,"Insecta","Diptera","Sciaridae",""
"Spp369",1,0,0,3.1,"Insecta","Lepidoptera","Geometridae",""
"Spp370",1,0,0,3.1,"Insecta","Diptera","Muscidae","Mydaea.occidentalis"
"Spp371",1,0,0,3.1,"Arachnida","Araneae","Dictynidae","Dictyna.minuta"
"Spp372",1,4.2,0,0,"Insecta","Lepidoptera","Gracillariidae",""
"Spp373",1,0,0,3.1,"Insecta","Diptera","Tachinidae","Oswaldia.assimilis"
"Spp374",1,0,0,3.1,"Insecta","Diptera","Simuliidae",""
"Spp375",1,0,3.2,0,"Insecta","Lepidoptera","Gelechiidae","Anacampsis.conclusella"
"Spp377",1,0,3.2,0,"Arachnida","Araneae","Linyphiidae","Pityohyphantes.subarcticus"
"Spp379",1,0,0,3.1,"Insecta","Diptera","Pipunculidae","Eudorylas.sp..101"
"Spp380",1,0,0,3.1,"Insecta","Diptera","Tipulidae",""
"Spp382",1,0,0,3.1,"Insecta","Psocodea","Mesopsocidae","Mesopsocus.laticeps"
"Spp383",1,0,0,3.1,"Insecta","Diptera","Limoniidae",""
"Spp385",1,0,0,3.1,"Insecta","Diptera","Culicidae","Aedes.triseriatus"
"Spp386",1,0,0,3.1,"Insecta","Hymenoptera","Ichneumonidae","Dirophanes.gaspesianus"
"Spp388",1,0,0,3.1,"Insecta","Diptera","Pipunculidae","Eudorylas.sp..ON6"
"Spp389",1,0,3.2,0,"Insecta","Diptera","Syrphidae","Didea.fuscipes"
"Spp390",1,0,0,3.1,"Insecta","Diptera","Ceratopogonidae",""
"Spp392",1,0,0,3.1,"Insecta","Diptera","Tipulidae","Dolichopeza.walleyi"
"Spp394",1,0,3.2,0,"Insecta","Diptera","Pipunculidae","Chalarus.sp..ON2"
"Spp395",1,0,0,3.1,"Arachnida","Araneae","Philodromidae",""
